camis,restaurant_name,borough,cuisine_description,num_inspections,avg_score,score_std_dev,score_range,critical_rate,first_inspection,last_inspection,anomaly_type
50161969,MOON MAN,Manhattan,bakery products/desserts,5,122.0,0.0,0,1.0,2025-10-15,2025-10-15,Frequent Critical Violations
50125809,XPIZZA,Manhattan,pizza,5,102.0,0.0,0,1.0,2024-03-14,2024-03-14,Frequent Critical Violations
50168946,TANING LEMON TEA FLUSHING,Queens,coffee/tea,5,99.0,0.0,0,1.0,2025-11-19,2025-11-19,Frequent Critical Violations
50071596,CONCESSION STAND 3RD FLOOR,Queens,american,6,46.833333333333336,40.79419893399877,79,1.0,2018-06-27,2019-06-27,High Score Volatility
50136280,XI JIANG QIAN HU NOODLE INC,Queens,chinese,12,40.916666666666664,22.059664273936445,49,1.0,2023-08-01,2024-12-31,High Score Volatility
50177639,DISTRICT 385,Queens,latin american,5,38.0,0.0,0,1.0,2025-10-10,2025-10-10,Frequent Critical Violations
50152572,ROSA'S PIZZA,Manhattan,pizza,8,36.0,14.813121596360823,32,1.0,2024-07-11,2024-12-04,High Score Volatility
50152440,KATANA SUSHI,Brooklyn,seafood,5,34.0,0.0,0,1.0,2025-04-03,2025-04-03,Frequent Critical Violations
50162782,BONTREE,Brooklyn,coffee/tea,6,33.5,13.47219358530748,33,1.0,2025-04-21,2025-06-26,High Score Volatility
50148825,RICEBOY,Queens,korean,6,32.666666666666664,21.02062479249051,47,1.0,2024-04-10,2024-09-03,High Score Volatility
50161452,SI CHINA COOK RESTAURANT,Staten Island,chinese,5,32.0,0.0,0,1.0,2025-04-16,2025-04-16,Frequent Critical Violations
50114831,HOME OF ASTORIA (HOA),Queens,american,12,32.0,6.768912897813194,16,1.0,2022-08-26,2023-09-14,Frequent Critical Violations
50126011,NEREA,Manhattan,mediterranean,6,31.166666666666668,11.839200423452029,29,1.0,2023-09-20,2023-12-26,High Score Volatility
50111457,THE TEN BELLS,Brooklyn,tapas,5,31.0,0.0,0,1.0,2025-11-05,2025-11-05,Frequent Critical Violations
50160975,BLUE BLOSSOM,Manhattan,chinese,7,28.0,6.831300510639733,14,1.0,2025-02-25,2025-05-01,Frequent Critical Violations
50156320,CAFE AUGUST,Manhattan,american,5,27.6,9.838699100999076,22,1.0,2025-04-22,2025-07-01,Frequent Critical Violations
40972759,GATE WAY BEER GARDEN,Brooklyn,caribbean,5,27.6,9.838699100999074,22,1.0,2022-03-08,2024-12-13,Frequent Critical Violations
