cuisine,num_restaurants,total_inspections,avg_score,critical_violation_rate,grade_a_rate,grade_b_rate,grade_c_rate,score_std_dev
bangladeshi,76,1599,43.56973108192621,0.6303939962476548,0.10881801125703565,0.06629143214509069,0.12507817385866166,28.501783697826262
pakistani,36,543,36.569060773480665,0.6095764272559853,0.14548802946593,0.09760589318600368,0.07366482504604052,27.078237071806658
african,92,1316,35.65729483282675,0.60790273556231,0.15881458966565348,0.0797872340425532,0.10182370820668693,25.656408266707732
filipino,37,594,34.43097643097643,0.5858585858585859,0.11952861952861953,0.11616161616161616,0.1127946127946128,21.44626093244649
indian,315,4360,32.434633027522935,0.5990825688073395,0.17912844036697248,0.07477064220183487,0.08486238532110092,22.207861652097804
soul food,66,737,32.08819538670285,0.5549525101763908,0.26051560379918587,0.050203527815468114,0.050203527815468114,28.81960542161229
creole,20,433,32.030023094688225,0.6212471131639723,0.13163972286374134,0.11547344110854503,0.09468822170900693,19.489111970947576
chinese/cuban,20,244,31.077868852459016,0.610655737704918,0.25,0.14344262295081966,0.04918032786885246,22.31420965755153
eastern european,112,1376,29.809593023255815,0.5792151162790697,0.24200581395348839,0.06395348837209303,0.055232558139534885,21.41095918826437
caribbean,742,10464,29.638188073394495,0.5557148318042814,0.2559250764525994,0.07377675840978594,0.07071865443425077,21.260894413840777
chinese,2172,27867,29.509096781138982,0.5897297879211971,0.2497936627552302,0.08336024688699896,0.06258298345713569,20.17767597530784
middle eastern,237,2576,29.022127329192546,0.5493012422360248,0.2845496894409938,0.056677018633540376,0.045419254658385096,22.583899572480775
asian/asian fusion,468,5359,28.711886545997388,0.5948871058033215,0.22746781115879827,0.07743982086210113,0.056540399328232877,19.724129264862427
chinese/japanese,40,610,28.59016393442623,0.6032786885245902,0.21147540983606558,0.08852459016393442,0.05901639344262295,15.86134197042615
korean,416,4340,27.918663594470047,0.5907834101382489,0.27903225806451615,0.07511520737327189,0.06129032258064516,18.74289779140359
latin american,974,12863,27.895358780999768,0.5791028531446786,0.27163181217445387,0.08792661121044858,0.06258260125942626,18.80215423718485
thai,338,4246,27.842204427696657,0.586905322656618,0.22326895902025437,0.08666980687706076,0.06382477626000942,18.262916122363233
turkish,66,791,27.8204804045512,0.5600505689001264,0.2895069532237674,0.04424778761061947,0.05815423514538559,18.543909854189646
russian,45,499,27.739478957915832,0.5571142284569138,0.3066132264529058,0.07014028056112225,0.052104208416833664,21.829667934661966
